dir,right,left,front,angle,target
1,0,0,0,0.9278076844893528,1
1,1,0,0,0.4514102096524711,-1
-1,0,0,0,-0.8279791303773694,1
0,0,0,0,-0.35241638234956674,1
-1,0,0,0,-0.3788810584091566,1
-1,0,0,0,0.1331249387476566,0
1,0,1,1,0.6614144672170952,1
1,0,1,0,0.17780768448935277,1
-1,1,0,0,-0.35241638234956674,1
0,0,0,0,0.16524934053856793,1
0,0,0,0,0.18716704181099877,1
-1,0,0,0,0.21477671252272265,0
-1,0,0,0,0.75,0
1,0,1,0,-0.7788579383763046,0
-1,0,0,0,0.75,0
-1,0,0,0,-0.7744372519721975,1
0,1,1,1,-0.30256845671125343,-1
-1,0,0,0,-0.42202086962263075,1
0,0,0,0,0.08858553278290471,1
-1,0,0,0,0.10241638234956671,0
0,0,0,0,0.6475836176504333,0
-1,0,0,0,0.6871670418109987,0
1,0,0,1,-0.8347506594614322,0
0,0,1,0,0.6974315432887466,0
1,0,0,0,0.7255627480278026,1
1,0,0,0,0.25,1
1,1,0,1,-0.27885793837630446,-1
0,0,0,0,-0.4180913175751626,1
-1,0,0,0,-0.43395189977984455,1
-1,0,0,0,0.06960448727306394,0
0,0,1,0,0.5862450610930792,0
-1,0,1,0,0.6024163823495667,-1
-1,0,0,0,0.8711189415908434,0
0,0,0,0,-0.665249340538568,0
0,0,0,0,-0.6974315432887466,0
-1,0,0,0,-0.7255627480278025,1
0,0,0,0,-0.25,1
0,0,0,0,-0.2788579383763044,1
-1,0,0,0,-0.31283295818900125,1
-1,0,0,0,0.2147767125227228,0
1,0,1,0,0.75,1
-1,0,0,0,0.2852232874772773,0
0,0,0,1,0.8128329581890013,-1
0,0,0,0,-0.7951672353008665,0
-1,0,0,0,-0.8072491470487003,1
0,0,0,0,-0.3244027652986173,1
0,0,0,0,-0.34277357907774236,1
-1,0,0,0,-0.3623603301731561,1
-1,0,0,0,0.1475836176504333,0
-1,0,1,0,0.6680913175751626,-1
1,0,0,0,0.39758361765043326,1
1,0,0,0,-0.11420025121990814,0
1,1,0,0,-0.6475836176504333,-1
1,0,0,0,0.7372743886520082,1
0,0,0,0,0.25,1
0,0,0,0,0.2638308495666621,1
-1,0,0,0,0.27885793837630457,0
1,0,0,0,0.7912855998398473,1
0,0,0,0,0.30724914704870027,1
-1,0,0,0,0.3244027652986173,0
1,0,0,0,0.834750659461432,1
0,0,0,0,0.35241638234956674,1
0,0,0,0,0.3711189415908434,1
-1,0,0,0,0.39081208856637056,0
1,0,0,0,0.8975836176504333,1
-1,0,0,0,0.41704768234368034,0
-1,0,0,0,0.9220208696226306,0
0,0,1,0,-0.5964112479792295,0
1,0,0,0,-0.6142002512199082,0
-1,0,0,0,0.8919998065101323,0
-1,0,0,0,-0.6243340836219975,1
-1,0,1,0,-0.1312743207258711,-1
-1,0,0,0,0.23727438865200817,0
0,0,0,0,0.75,0
0,0,0,0,0.7617838688703414,0
0,0,0,0,0.7726978709998604,0
1,0,0,0,0.7828118950765027,1
-1,0,0,0,0.2951672353008665,0
0,0,0,0,0.8043467057322626,0
-1,0,0,0,0.8128329581890013,0
-1,0,0,0,-0.6990980719682127,1
1,0,1,1,-0.20780753684115863,0
0,0,0,0,-0.7192914436019101,0
0,0,0,0,-0.7301314756944591,0
1,0,0,0,-0.7403571967281756,0
-1,0,0,0,0.7687025592412767,0
1,0,0,0,-0.7409079053243516,0
-1,0,0,0,0.7676657228881346,0
0,0,0,0,-0.7413991238945667,0
1,0,0,0,-0.75,0
0,0,0,0,0.7581600039688102,0
-1,0,0,0,0.7659022512561764,0
0,0,0,0,-0.7422378831816868,0
1,0,0,0,-0.75,0
1,0,0,0,0.7574012214103869,1
0,1,0,0,0.26514617218836817,1
-1,1,0,0,0.27324953402843566,0
-1,0,0,0,0.7802240668389194,0
-1,0,1,0,-0.7278282605642791,-1
-1,0,0,0,-0.4474315432887466,1
0,0,0,0,0.05724914704870013,1
-1,0,0,0,0.06283295818900116,0
-1,0,0,0,0.5927735790777423,0
-1,0,1,1,-0.915249340538568,-1
-1,0,0,0,0.8743340836219977,0
1,0,0,0,-0.6475836176504333,0
1,0,0,0,0.862360330173156,1
-1,1,0,0,0.3831249387476566,0
-1,0,0,0,0.8908120885663706,0
0,0,1,0,-0.6288810584091566,0
-1,0,0,0,-0.6475836176504333,1
-1,0,1,0,-0.1572264209222576,-1
0,0,0,0,0.13898274154500012,1
0,0,0,0,0.14758361765043326,1
-1,0,0,0,0.15722642092225766,0
0,0,0,0,0.6755972347013827,0
0,0,0,0,0.6927508529512999,0
-1,0,0,0,0.7087144001601527,0
1,0,0,0,-0.8025684567112534,0
1,0,0,0,0.7119845921520503,1
1,1,0,0,0.22353532394041012,-1
1,0,0,0,-0.3711189415908434,0
0,0,0,0,-0.8857997487800918,0
1,0,0,0,-0.8975836176504333,0
0,0,0,0,0.6331249387476565,0
-1,0,0,0,0.6614144672170952,0
0,0,0,0,-0.8524163823495667,0
1,0,0,0,-0.8642002512199082,0
1,0,0,0,0.6589469981442512,1
-1,1,0,0,0.17202086962263066,0
0,0,0,0,0.6944001122142147,0
0,0,0,0,0.7147767125227227,0
-1,0,0,0,0.7332622916434259,0
1,0,0,0,-0.7817255174305535,0
0,0,0,0,0.7348538278116319,0
0,0,0,0,0.75,0
1,0,0,0,0.7638308495666619,1
-1,0,0,0,0.27885793837630446,0
-1,0,0,0,0.7912855998398473,0
-1,0,1,0,-0.7235353239404101,-1
-1,0,0,0,-0.5,1
1,0,0,0,0.0,0
1,0,0,0,-0.5525684567112534,0
1,1,0,0,0.9548327646991335,-1
0,0,0,0,0.4548327646991335,1
1,0,0,0,0.5,1
1,0,0,0,0.0,0
1,1,0,0,-0.5525684567112534,-1
0,0,0,0,0.7001520743616867,0
-1,0,0,0,0.7182744825694465,0
0,0,0,0,-0.7951672353008665,0
0,0,0,0,-0.8072491470487001,0
1,0,0,0,-0.8181376318216245,0
0,0,0,0,0.6974315432887466,0
-1,0,0,0,0.7119845921520503,0
0,0,0,0,-0.7985897903475289,0
-1,0,0,0,-0.8082859834018422,1
-1,0,0,0,-0.32219231551064725,1
0,0,1,1,0.18716704181099877,-1
-1,0,0,0,0.7192914436019102,0
1,0,0,0,-0.7895834241605655,0
-1,0,0,0,0.7211420616236955,0
1,0,0,0,-0.7872768711542052,0
-1,0,0,0,0.7227828197011792,0
1,0,0,0,-0.7852232874772772,0
1,0,0,0,0.7242474254060964,1
1,1,0,0,0.23233427711186536,-1
0,0,0,0,0.8654014149002547,0
0,0,0,0,0.8711189415908434,0
1,0,0,0,0.8763943130154869,1
-1,0,0,0,0.38898274154500023,0
-1,0,0,0,0.8934499554121628,0
-1,0,1,0,-0.6187256792741287,-1
1,0,0,0,0.7852232874772773,1
0,0,0,0,0.30559988778578523,1
-1,0,0,0,0.32797913037736937,0
0,0,0,0,0.8410530018557488,0
1,0,0,0,0.8524163823495667,1
-1,0,0,0,0.3743340836219977,0
0,0,0,0,0.8831249387476566,0
1,0,0,0,0.8908120885663706,1
1,0,0,0,0.41141446721709524,1
-1,1,0,0,-0.09501516093917983,1
0,0,0,0,0.42780768448935275,1
-1,0,0,0,0.4514102096524711,0
-1,0,0,0,0.9548327646991335,0
-1,0,1,1,-0.5671930948722894,-1
0,0,0,0,-0.937167041810999,0
1,0,0,0,-0.9474315432887466,0
0,0,0,0,0.6024163823495667,0
1,0,0,0,0.6475836176504333,1
1,0,0,0,0.17202086962263066,1
1,1,0,1,-0.3788810584091566,-1
1,0,0,0,-0.25,0
-1,0,0,0,-0.7788579383763046,1
1,0,0,0,-0.3128329581890012,0
-1,0,0,0,-0.8347506594614322,1
0,0,0,0,-0.3711189415908434,1
0,0,0,0,-0.4114144672170953,1
-1,0,0,0,-0.4548327646991335,1
0,0,0,0,0.05256845671125338,1
-1,0,0,0,0.06283295818900116,0
1,0,0,0,0.6211189415908434,1
-1,0,0,0,0.1475836176504333,0
-1,0,0,0,0.7048327646991335,0
0,0,1,0,-0.8279791303773694,0
0,0,0,1,-0.8524163823495667,-1
0,0,0,0,0.8009019280317873,0
0,0,0,0,0.8089980848675286,0
0,0,0,0,0.8165340691344631,0
-1,0,0,0,0.8235584439732623,0
0,0,0,0,-0.6871670418109987,0
-1,0,0,0,-0.6974315432887466,1
0,0,0,0,-0.20483276469913342,1
-1,0,0,0,-0.21272312884579486,1
0,0,0,1,0.29786471213424504,-1
0,0,0,0,-0.16809131757516257,1
-1,0,0,0,-0.18039551272693607,1
0,0,0,0,0.34105300185574877,1
1,0,0,0,0.3642002512199081,1
1,0,0,0,-0.14758361765043326,0
-1,1,0,0,-0.6720208696226306,1
1,0,0,0,-0.1871670418109988,0
-1,0,0,0,-0.7104165758394345,1
-1,0,0,0,-0.2288106953650536,1
1,0,1,0,0.2951672353008665,1
0,0,0,0,-0.2255627480278026,1
0,0,0,0,-0.25,1
0,0,0,0,-0.27885793837630446,1
-1,0,0,0,-0.3128329581890012,1
-1,0,0,0,0.21477671252272273,0
-1,0,1,0,0.75,-1
0,0,0,0,-0.6180583639285181,0
1,0,0,0,-0.6331249387476566,0
-1,0,0,0,0.8731463656782359,0
-1,0,0,0,-0.6408120885663706,1
0,0,1,0,-0.1475836176504333,1
-1,0,0,0,-0.15498483906082017,1
-1,0,1,0,0.3599937575251385,-1
0,0,0,0,-0.5451672353008665,0
1,0,0,0,-0.5671930948722895,0
-1,0,0,0,0.9371670418109987,0
1,0,0,0,-0.5829523176563197,0
0,0,0,0,0.9220208696226306,0
-1,0,0,0,0.9264415560267377,0
-1,0,0,0,-0.5910530018557488,1
0,0,1,0,-0.09641124797922958,1
-1,0,1,0,-0.10241638234956678,-1
